idNhanh,parentId,productName,facebookID,productName,
5537328,15374397,Bao Clear view iPhone 7 đen,#N/A,Bao Clear view iPhone 7,
5537330,15374397,Bao Clear view iPhone 7 hồng,#N/A,Bao Clear view iPhone 7,
15374398,-2,Bao Clear view iPhone 7 Plus,2366,Bao da Clear View Iphone,Giang
5537339,15374398,Bao Clear view iPhone 7 Plus bạc,#N/A,Bao Clear view iPhone 7 Plus,
5537334,15374398,Bao Clear view iPhone 7 Plus đen,#N/A,Bao Clear view iPhone 7 Plus,
5537338,15374398,Bao Clear view iPhone 7 Plus hồng,#N/A,Bao Clear view iPhone 7 Plus,
5537337,15374398,Bao Clear view iPhone 7 Plus tiệp,#N/A,Bao Clear view iPhone 7 Plus,
5537335,15374398,Bao Clear view iPhone 7 Plus vàng,#N/A,Bao Clear view iPhone 7 Plus,
5537336,15374398,Bao Clear view iPhone 7 Plus xanh dương,#N/A,Bao Clear view iPhone 7 Plus,
5537332,15374397,Bao Clear view iPhone 7 tiệp,#N/A,Bao Clear view iPhone 7,
5537329,15374397,Bao Clear view iPhone 7 vàng,#N/A,Bao Clear view iPhone 7,
5537331,15374397,Bao Clear view iPhone 7 xanh lam,#N/A,Bao Clear view iPhone 7,
5538376,-1,Bao clear view Note 5 tiệp,1529,Bao da clear view Note 5 chính hãng Samsung,Giang
5538375,-1,Bao clear view Note 5 vàng,1529,Bao da clear view Note 5 chính hãng Samsung,Giang
5534768,-1,bao clear view S6 chính hãng bạc,1312,Bao da Clear View Samsung Galaxy S6 chính hãng,Giang
5534766,-1,bao clear view S6 chính hãng gold,1312,Bao da Clear View Samsung Galaxy S6 chính hãng,Giang
5534767,-1,bao clear view S6 chính hãng tiệp,1312,Bao da Clear View Samsung Galaxy S6 chính hãng,Giang
5537388,-1,bao clear view S6 chính hãng xanh dương,1312,Bao da Clear View Samsung Galaxy S6 chính hãng,Giang
5534769,-1,bao clear view S6 chính hãng xanh lục,1312,Bao da Clear View Samsung Galaxy S6 chính hãng,Giang
5534763,-1,bao clear view S6 edge chính hãng bạc,1389,Bao da Clear View Galaxy S6 Edge chính hãng,Giang
5534764,-1,bao clear view S6 edge chính hãng đen,1389,Bao da Clear View Galaxy S6 Edge chính hãng,Giang
5534761,-1,bao clear view S6 edge chính hãng gold,1389,Bao da Clear View Galaxy S6 Edge chính hãng,Giang
5534762,-1,bao clear view S6 edge chính hãng tiệp,1389,Bao da Clear View Galaxy S6 Edge chính hãng,Giang
5534765,-1,bao clear view S6 edge chính hãng xanh lục,1389,Bao da Clear View Galaxy S6 Edge chính hãng,Giang
5538377,-1,bao clear view s6 edge plus gold,1536,Bao da Clear view cover S6 Edge Plus,Giang
5538378,-1,bao clear view s6 edge plus tiệp,1536,Bao da Clear view cover S6 Edge Plus,Giang
5537390,-1,bao clear view S7 chính hãng bạc,1638,Bao da Clear View Galaxy S7 chính hãng Samsung,Giang
5537389,-1,bao clear view S7 chính hãng đen,1638,Bao da Clear View Galaxy S7 chính hãng Samsung,Giang
6358924,-1,bao clear view S7 chính hãng hồng,1638,Bao da Clear View Galaxy S7 chính hãng Samsung,Giang
5537391,-1,bao clear view S7 chính hãng vàng,1638,Bao da Clear View Galaxy S7 chính hãng Samsung,Giang
5537342,-1,bao clear view S7 edge chính hãng bạc,1714,Bao da Clear View Galaxy S7 edge,Giang
5537341,-1,bao clear view S7 edge chính hãng đen,1714,Bao da Clear View Galaxy S7 edge,Giang
5537340,-1,bao clear view S7 edge chính hãng gold,1714,Bao da Clear View Galaxy S7 edge,Giang
5537343,-1,bao clear view S7 edge chính hãng hồng,1714,Bao da Clear View Galaxy S7 edge,Giang
5537344,-1,bao clear view S7 edge chính hãng Xanh,1714,Bao da Clear View Galaxy S7 edge,Giang
6715070,-1,bao cv 3 ip 60,2366,Bao da Clear view iPhone,Giang
6715079,-1,bao cv 3 ip 61,2366,Bao da Clear view iPhone,Giang
6715078,-1,bao cv 3 ip 62,2366,Bao da Clear view iPhone,Giang
6715077,-1,bao cv 3 ip 63,2366,Bao da Clear view iPhone,Giang
6715076,-1,bao cv 3 ip 64,2366,Bao da Clear view iPhone,Giang
6715075,-1,bao cv 3 ip 65,2366,Bao da Clear view iPhone,Giang
6715074,-1,bao cv 3 ip 66,2366,Bao da Clear view iPhone,Giang
6715073,-1,bao cv 3 ip 67,2366,Bao da Clear view iPhone,Giang
6715072,-1,bao cv 3 ip 68,2366,Bao da Clear view iPhone,Giang
6715071,-1,bao cv 3 ip 69,2366,Bao da Clear view iPhone,Giang
15374399,-2,Bao CV 3.0 ip 678,2366,Bao da Clear view iPhone,Giang
6494641,15374399,Bao CV 3.0 ip 678 bạc,#N/A,Bao CV 3.0 ip 678,
6494639,15374399,Bao CV 3.0 ip 678 đen (tiệp),#N/A,Bao CV 3.0 ip 678,
6494642,15374399,Bao CV 3.0 ip 678 hồng,#N/A,Bao CV 3.0 ip 678,
15374400,-2,Bao CV 3.0 ip 678 Plus,2366,Bao da Clear view iPhone,Giang
6494646,15374400,Bao CV 3.0 ip 678 Plus bạc,#N/A,Bao CV 3.0 ip 678 Plus,
6494644,15374400,Bao CV 3.0 ip 678 Plus đen (tiệp),#N/A,Bao CV 3.0 ip 678 Plus,
6494647,15374400,Bao CV 3.0 ip 678 Plus hồng,#N/A,Bao CV 3.0 ip 678 Plus,
6494645,15374400,Bao CV 3.0 ip 678 Plus vàng,#N/A,Bao CV 3.0 ip 678 Plus,
6494648,15374400,Bao CV 3.0 ip 678 Plus xanh dương,#N/A,Bao CV 3.0 ip 678 Plus,
6494640,15374399,Bao CV 3.0 ip 678 vàng,#N/A,Bao CV 3.0 ip 678,
6494643,15374399,Bao CV 3.0 ip 678 xanh dương,#N/A,Bao CV 3.0 ip 678,
15374401,-2,Bao CV 3.0 iphone X,2366,Bao da Clear view iPhone,Giang
6494651,15374401,Bao CV 3.0 iphone X bạc,#N/A,Bao CV 3.0 iphone X,
6494649,15374401,Bao CV 3.0 iphone X Đen (tiệp),#N/A,Bao CV 3.0 iphone X,
6494652,15374401,Bao CV 3.0 iphone X hồng,#N/A,Bao CV 3.0 iphone X,
6494650,15374401,Bao CV 3.0 iphone X vàng,#N/A,Bao CV 3.0 iphone X,
6494653,15374401,Bao CV 3.0 iphone X xanh dương,#N/A,Bao CV 3.0 iphone X,
15374403,-2,Bao CV hở view iphone 6,2366,Bao da Clear view iPhone,Giang
5537292,15374403,Bao CV hở view iphone 6 bạc,#N/A,Bao CV hở view iphone 6,
5537293,15374403,Bao CV hở view iphone 6 đen,#N/A,Bao CV hở view iphone 6,
15374402,-2,Bao CV hở view iphone 6 plus,2366,Bao da Clear view iPhone,Giang
5537297,15374402,Bao CV hở view iphone 6 plus bạc,#N/A,Bao CV hở view iphone 6 plus,
5537298,15374402,Bao CV hở view iphone 6 plus đen,#N/A,Bao CV hở view iphone 6 plus,
5537295,15374402,Bao CV hở view iphone 6 plus tiệp,#N/A,Bao CV hở view iphone 6 plus,
5537294,15374402,Bao CV hở view iphone 6 plus vàng,#N/A,Bao CV hở view iphone 6 plus,
5537296,15374402,Bao CV hở view iphone 6 plus xanh lam,#N/A,Bao CV hở view iphone 6 plus,
5537290,15374403,Bao CV hở view iphone 6 tiệp,#N/A,Bao CV hở view iphone 6,
5537289,15374403,Bao CV hở view iphone 6 vàng,#N/A,Bao CV hở view iphone 6,
5537291,15374403,Bao CV hở view iphone 6 xanh lam,#N/A,Bao CV hở view iphone 6,
5785555,-1,Bao CV hở view iphone 7 plus xanh dương,2366,Bao da Clear view iPhone,Giang
5538373,-1,Bao CV hở view iphone SE 5 bạc,1752,Bao da Clear View Iphone SE 5-5S,Giang
5538374,-1,Bao CV hở view iphone SE 5 đen,1752,Bao da Clear View Iphone SE 5-5S,Giang
5538370,-1,Bao CV hở view iphone SE 5 tiệp,1752,Bao da Clear View Iphone SE 5-5S,Giang
5538371,-1,Bao CV hở view iphone SE 5 vàng,1752,Bao da Clear View Iphone SE 5-5S,Giang
5538372,-1,Bao CV hở view iphone SE 5 xanh dương,1752,Bao da Clear View Iphone SE 5-5S,Giang
5881938,-1,Bao Da Alis Iphone 5/5s - đen,120,Bao da iPhone 5-5s Alis L1,Giang
15292384,-2,Bao da Baseus đế mềm iPhone 7,0,Bao da Baseus đế mềm iPhone 7,Giang
5537352,15292384,Bao da Baseus đế mềm iPhone 7 đen,1745,Bao da Baseus đế mềm iPhone 7,
5537355,15292384,Bao da Baseus đế mềm iPhone 7 đỏ,1745,Bao da Baseus đế mềm iPhone 7,
5537354,15292384,Bao da Baseus đế mềm iPhone 7 nâu,1745,Bao da Baseus đế mềm iPhone 7,
15292385,-2,Bao da Baseus đế mềm iPhone 7 Plus,1744,Bao da Baseus đế mềm iPhone 7 Plus,Giang
5537356,15292385,Bao da Baseus đế mềm iPhone 7 Plus đen,1744,Bao da Baseus đế mềm iPhone 7 Plus,
5537359,15292385,Bao da Baseus đế mềm iPhone 7 Plus đỏ,1744,Bao da Baseus đế mềm iPhone 7 Plus,
5537358,15292385,Bao da Baseus đế mềm iPhone 7 Plus nâu,1744,Bao da Baseus đế mềm iPhone 7 Plus,
5537357,15292385,Bao da Baseus đế mềm iPhone 7 Plus tiệp,1744,Bao da Baseus đế mềm iPhone 7 Plus,
5537353,15292384,Bao da Baseus đế mềm iPhone 7 tiệp,1745,Bao da Baseus đế mềm iPhone 7,
5537645,-1,Bao da Baseus ip 6 dựng hở view Đen,885,Bao da iPhone 6 Baseus dựng hở view,Giang
5537642,-1,Bao da Baseus ip 6 dựng hở view đỏ,885,Bao da iPhone 6 Baseus dựng hở view,Giang
